kepid,error
6766748,"KIC 6766748: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006766748_lc_Q011111111111111111\kplr006766748-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5095269,"KIC 5095269: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005095269_lc_Q111111111111111111\kplr005095269-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6543682,"KIC 6543682: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006543682_lc_Q001111111111111111\kplr006543682-2009259160929_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
10383696,"KIC 10383696: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr010383696_lc_Q000000000011111111\kplr010383696-2011271113734_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5112567,"KIC 5112567: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005112567_lc_Q011111011101110111\kplr005112567-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
3849155,"KIC 3849155: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr003849155_lc_Q011111111111111111\kplr003849155-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
10621666,"KIC 10621666: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr010621666_lc_Q011111101110111011\kplr010621666-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6367628,"KIC 6367628: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006367628_lc_Q111111111111111111\kplr006367628-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6864893,"KIC 6864893: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006864893_lc_Q011111111111111111\kplr006864893-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
12004679,"KIC 12004679: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr012004679_lc_Q111111110111011101\kplr012004679-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
3972391,"KIC 3972391: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr003972391_lc_Q111111011101110111\kplr003972391-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
9651155,"KIC 9651155: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr009651155_lc_Q000000000000000011\kplr009651155-2013098041711_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
