kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
8150320,CONFIRMED,10.19849255,137.92067,2.4283,634.1,1.75,21.4,0,0,0,0
8180063,FALSE POSITIVE,5.795063956,172.697467,3.2496,1692.9,4.33,119.4,0,0,1,0
8226994,CONFIRMED,7.15681552,174.13511,2.5882,867.0,2.47,47.7,0,0,0,0
8226994,CONFIRMED,17.64830851,133.54533,2.0873,763.3,2.43,23.8,0,0,0,0
8226994,CONFIRMED,4.14810719,133.3881,2.535,175.2,1.08,12.9,0,0,0,0
8247638,CONFIRMED,16.51410989,176.11686,4.1575,973.5,2.72,55.9,0,0,0,0
8247638,CONFIRMED,30.1329298,190.38336,5.172,1015.8,3.14,44.8,0,0,0,0
8247638,CONFIRMED,4.79090809,136.31106,2.603,251.3,1.36,21.2,0,0,0,0
11086270,CONFIRMED,31.71981013,142.82083,4.819,363.4,3.09,63.1,0,0,0,0
8247638,CONFIRMED,99.6415962,198.68664,4.448,952.5,2.64,22.7,0,0,0,0
8255887,CONFIRMED,4.708326451,171.446507,3.16114,7912.7,10.6,633.4,0,0,0,0
8256049,FALSE POSITIVE,16.37198661,172.75926,3.8449,4147.6,540.37,54.5,0,0,1,1
8414716,CONFIRMED,5.392026903,171.72707,2.9804,1151.4,2.68,77.4,0,0,0,0
9140402,CANDIDATE,2.494170338,170.852848,1.1221,863.7,2.42,69.2,0,0,0,0
9141746,CONFIRMED,6.491682808,174.633553,4.301,7163.3,9.66,502.3,0,0,0,0
9159275,FALSE POSITIVE,3.044770796,172.01916,10.0134,1695.0,24.54,203.5,0,1,1,1
9166862,CONFIRMED,3.855603916,170.6787843,3.2179,16652.7,13.61,1173.9,0,0,0,0
9166870,FALSE POSITIVE,3.855599139,170.67957,3.183,1030.9,3.57,90.1,0,0,1,1
11449844,CONFIRMED,38.47876629,151.852812,5.04169,23530.0,13.26,1077.8,0,1,0,0
8605074,FALSE POSITIVE,37.601661282,194.713383,8.30604,59130.1,27.22,1667.3,0,1,0,0
